time,Vgrid_A,Vgrid_B,V_grid_C,Igrid_A,Igrid_B,I_grid_C,F_grid,Id,Iq,Te,Tload,omegaR,Vm_A,Vm_B,Vm_C,Im_A,Im_B,Im_C,Ref_Speed
0,0,-0.866025403784439,0.866025403784439,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0
0.1,2.32806687965315e-15,-0.866025403784439,0.866025403784437,-1.81310396651914,1.8379899420909,-0.0248859755717576,59.1080718366516,-9.37819642515889e-26,3.08694686162618e-26,-2.60494432955918e-51,0,-5.43926396519387e-52,0,0,0,-7.69926294848323e-25,-6.54119533771601e-25,-8.52931544031411e-25,0
0.2,4.65613375930629e-15,-0.866025403784442,0.866025403784434,-0.227989860619336,0.287569594051888,-0.0595797334325923,58.3688103997888,-2.94913569801081e-26,-1.62406857922283e-25,8.34930124244866e-51,0,-7.49673833443674e-51,0,0,0,-2.22291742037301e-24,-1.88822470034437e-24,-2.01919925502557e-24,0
0.3,1.76423416753609e-14,-0.866025403784449,0.866025403784431,-0.0384733274173499,-0.0126898668714491,0.0511631942887512,57.6552701745872,-8.78269355351734e-27,-5.21751812206923e-26,-4.01425243390125e-52,0,-1.17988747430628e-50,0,0,0,-4.30457226555731e-23,-4.30289722461714e-23,-4.30534608325936e-23,0
0.4,9.31226751861259e-15,-0.866025403784444,0.866025403784435,0.00815438763092247,-0.038979883942625,0.0308254963116137,57.0487326305209,-8.7894981562896e-26,-4.6016297433752e-26,-2.15502646398208e-51,0,-1.40913576317116e-50,0,0,0,-7.87453937959849e-22,-7.8736646334335e-22,-7.87526509929187e-22,1350
0.5,9.82193361864236e-16,-0.866025403784433,0.866025403784432,0.00360395889746333,-0.0381369503204766,0.0345329914229954,56.3276405491539,0.378579641194606,0.163391737476229,0.0277552084744564,0,0.13440513020385,0,0,0,0.409535774654237,-0.231764329602923,-0.177771445051314,1350
0.6,3.52846833507219e-14,-0.86602540378445,0.866025403784415,0.0152575496412191,-0.0119453275416774,-0.00331222209956164,56.1897996429886,0.535910160912605,0.089841396155005,0.028654328144782,0,0.26685924652286,0,0,0,0.542225959320258,-0.25060323691633,-0.291622722403928,1350
0.7,1.27437544787715e-14,-0.866025403784439,0.866025403784426,0.0076491722880649,-0.0179365687131219,0.0102873964250168,55.9751558355415,0.677759424062213,0.0693473919647773,0.0304146232042771,0,0.400085044430077,0,0,0,-0.274358446371271,-0.399647736978627,0.674006183349898,1350
0.8,1.86245350372252e-14,-0.866025403784442,0.866025403784423,0.00845295512801092,-0.00892617820499958,0.000473223076960216,55.4887032149897,0.517280451466265,0.0683230444020231,0.0355769623720629,0,0.533428304996759,0,0,0,0.504436192059924,-0.160324415333066,-0.344111776726858,1350
0.9,-3.91639383472518e-15,-0.866025403784431,0.866025403784435,0.027636765417951,-0.00792345177157462,-0.0197133136464491,55.1579354162443,0.518031190654412,0.0704310184951744,0.0348461540131617,0,0.666730382980328,0,0,0,0.49618846483935,-0.127457144686971,-0.36873132015238,1350
1,1.96438672372847e-15,-0.866025403784434,0.866025403784432,0.0138800671704676,-0.00913982573697912,-0.00474024143353621,54.9269831653743,0.521053808595504,0.0605634532792372,0.0338439248579862,0,0.799910195049734,0,0,0,-0.0931704249749176,-0.392384719762028,0.485555144736946,1350
1.1,7.84516728218212e-15,-0.866025403784437,0.866025403784429,0.00431883501272155,-0.0101067333449016,0.00578789833211416,54.7766029765811,0.532530430675869,0.0270840340573403,0.0124487063285451,0,0.900231258779688,0,0,0,0.508982604752232,-0.162525627574287,-0.346456977177945,1350
1.2,7.05693667014438e-14,-0.866025403784468,0.866025403784397,0.0315746869003988,-0.00702913804779539,-0.0245455488526527,54.524957816457,0.499379230118986,0.0378217841060898,0.00928051013597444,0,0.900044386479141,0,0,0,-0.498898740569221,0.154331394105873,0.344567346463348,1350
1.3,1.96067283990894e-14,-0.866025403784442,0.866025403784423,0.0220059659910812,-0.0118991120664513,-0.0101068539246669,54.0787189775402,0.529854499293879,0.0124376245131203,0.00432133596677429,0,0.900044757154944,0,0,0,0.504913508320961,-0.154848304852819,-0.350065203468143,1350
1.4,2.54875089575431e-14,-0.866025403784445,0.86602540378442,0.02570502825061,-0.00870932882619371,-0.0169956994244608,53.4336748027591,0.491425776408055,0.0401084342156309,0.00960745474643916,0,0.900169718443925,0,0,0,-0.484995700765676,0.132358301959489,0.352637398806187,1350
1.5,8.82117083768047e-14,-0.866025403784477,0.866025403784389,0.0153932413290512,-0.0121164827806644,-0.00327675854841529,52.8799757478288,0.528143355046938,0.0214050356213942,0.0132863366809281,0.1,0.899966452839811,0,0,0,0.494290524334062,-0.121203220289837,-0.373087304044225,1350
1.6,3.72490700744504e-14,-0.866025403784451,0.866025403784414,0.0219236745699018,-0.00578175499939307,-0.016141919570541,52.2965796005073,0.507488439067117,0.204498113462418,0.107834979212472,0.1,0.900186679553143,0,0,0,-0.386202867331891,-0.135747266899315,0.521950134231206,1350
1.7,9.9973269493712e-14,-0.866025403784511,0.866025403784411,-0.00195049323786092,-0.0184485814332608,0.0203990746708693,52.1437622452086,0.507578244505864,0.169227591216725,0.104020053253612,0.1,0.900023760949347,0,0,0,0.302030460676681,0.240188349728172,-0.542218810404853,1350
1.8,-7.83278766945035e-15,-0.866025403784457,0.866025403784465,0.015981140376252,-0.0196421065017786,0.00366096612527802,52.1067439927093,0.523742571552875,0.193585503257175,0.106666816189269,0.1,0.900113765489633,0,0,0,-0.190065472590965,-0.341812319345937,0.531877791936902,1350
1.9,-1.9520071109967e-15,-0.86602540378446,0.866025403784462,-0.00288055293387964,-0.00476988281152162,0.00765043574517888,52.0638171206412,0.49985271643381,0.192362743790524,0.106901346684497,0.1,0.900017077514435,0,0,0,0.0782481571763218,0.426597425338059,-0.50484558251438,1350
2,3.92877344745694e-15,-0.866025403784463,0.866025403784459,0.00728285625708133,-0.0158609734550644,0.00857811719776644,52.0229646336628,0.523744059957103,0.17602751172919,0.107500815167137,0.2,0.899866342650081,0,0,0,0.0407132483488613,-0.490059491329877,0.449346242981016,1350
2.1,9.80955400591059e-15,-0.866025403784466,0.866025403784456,0.0159874488676644,-0.0300887988136113,0.0141013499457118,52.054718261188,0.521665021233121,0.363037987888201,0.205669424408621,0.2,0.900001858611293,0,0,0,-0.407608499572327,0.602970611163553,-0.195362111591227,1350
2.2,1.56903345643642e-14,-0.866025403784469,0.866025403784453,0.0147325973096582,-0.0236927990650039,0.00896020175511554,52.1056695612911,0.502125209673673,0.361266765615304,0.207102506566621,0.2,0.900115479174431,0,0,0,0.561849622610214,-0.502933647018887,-0.0589159755913271,1350
2.3,1.35257952844434e-13,-0.866025403784529,0.866025403784394,-0.00516222512875473,-0.00824370536410481,0.0134059304926513,52.1490602811486,0.51469962131236,0.332325040346217,0.206838764834542,0.2,0.899959219792013,0,0,0,-0.616629828738422,0.314377691631455,0.302252137106966,1350
2.4,1.41138733402888e-13,-0.866025403784532,0.866025403784391,0.00348342715222218,-0.0200961165091589,0.0166126893567347,52.1741942450621,0.526211925953561,0.365152138227668,0.213771763903338,0.2,0.899962994426232,0,0,0,0.566585466291603,-0.0627415366381031,-0.5038439296535,1350
2.5,3.33326762397252e-14,-0.866025403784478,0.866025403784444,0.00565208479437554,-0.0188759236068714,0.0132238388122868,52.2006885810929,0.50415679427083,0.371338580243874,0.210840865380242,0.3,0.900084399713906,0,0,0,-0.417790251868782,-0.187730542113732,0.605520793982514,1350
2.6,3.92134567981788e-14,-0.866025403784481,0.866025403784442,0.0364352047367609,-0.0430080188590155,0.00657281412203958,52.2241660945881,0.49436913504692,0.514934570245976,0.310926295727265,0.3,0.900033004462822,0,0,0,-0.0369025428307836,0.642481686023076,-0.605579143192292,1350
2.7,4.50942373566325e-14,-0.866025403784484,0.866025403784439,0.0135412212422821,-0.0259167694901392,0.0123755482476498,52.2426913335045,0.510373111363024,0.48485315895586,0.302894804103142,0.3,0.899946100461641,0,0,0,0.432965776872489,-0.705965892133661,0.273000115261172,1350
2.8,5.09750179150861e-14,-0.866025403784487,0.866025403784436,0.0132613176253173,-0.0318229092043636,0.0185615915788602,52.2597129402037,0.537832569284821,0.508922546113429,0.307526101570246,0.3,0.900056243150555,0,0,0,-0.692262816648407,0.535452709550723,0.156810107097685,1350
2.9,1.70542636195156e-13,-0.866025403784546,0.866025403784376,0.0209129869216023,-0.0452991554032691,0.02438616848145,52.2825277448989,0.515779915154787,0.529205013130744,0.306326924227393,0.3,0.899976116107333,0,0,0,0.679167642768476,-0.144717050631516,-0.53445059213696,1350
3,1.76423416753609e-13,-0.866025403784549,0.866025403784373,0.0212510151971303,-0.0426145375976988,0.0213635224003297,52.2970878092247,0.497922773585133,0.528736504315663,0.307121838355502,0.4,0.900124453883927,0,0,0,-0.423468706510229,-0.287902445905408,0.711371152415637,1350
3.1,6.86173595904471e-14,-0.866025403784495,0.866025403784427,0.0249473176137857,-0.0381213883241925,0.0131740707101761,52.2918740161154,0.491353979007041,0.683737259677125,0.407109918223564,0.4,0.900138378292961,0,0,0,-0.250634834193921,0.818105275533006,-0.567470441339085,1350
3.2,7.44981401489007e-14,-0.866025403784498,0.866025403784424,-0.00106530436904872,-0.0356686132990732,0.036733917667902,52.2795998925747,0.497623605056357,0.67081058586986,0.409532459696579,0.4,0.899958619781594,0,0,0,0.758635237142295,-0.700905994016006,-0.0577292431262888,1350
3.3,8.03789207073544e-14,-0.866025403784444,0.866025403784364,0.00751695731670781,-0.0501037330378674,0.0425867757212311,52.2719878010152,0.506187943939316,0.659347543233888,0.40961273474452,0.4,0.899793145303034,0,0,0,-0.791383753575534,0.138872799256556,0.652510954318979,1350
3.4,1.99946538987424e-13,-0.866025403784504,0.866025403784304,-0.0091057521784187,-0.0410338226080484,0.0501395747866426,52.2710273318881,0.517895505012393,0.649001129770277,0.401781257499598,0.4,0.899988337470513,0,0,0,0.329364923451604,0.498871938447623,-0.828236861899227,1350
3.5,9.21404818242617e-14,-0.86602540378445,0.866025403784358,0.000201862150229146,-0.0535051417293608,0.0533032795793002,52.2618948371034,0.529710456209383,0.670361983708927,0.412120064872964,0.5,0.899997054829261,0,0,0,0.34546553035026,-0.843095897832179,0.497630367481919,1350
3.6,-1.56655753389007e-14,-0.866025403784397,0.866025403784412,0.0132253700734456,-0.0431276510047321,0.0299022809314363,52.2381123238545,0.529837529459791,0.823796938141915,0.504530368411129,0.5,0.899986800338774,0,0,0,-0.9706701159991,0.536738700638602,0.433931415360498,1350
3.7,1.03902042941169e-13,-0.866025403784456,0.866025403784352,0.00286091333997387,-0.0488835869383558,0.046022673598519,52.209624328953,0.529444396901199,0.829251282333789,0.507524817728624,0.5,0.900048156429668,0,0,0,0.562349402314447,0.40894365145255,-0.971293053766996,1350
3.8,-3.90401422199341e-15,-0.866025403784402,0.866025403784406,0.00759207459639082,-0.0449692344438698,0.0373771598476438,52.1742800192909,0.532859378126735,0.8387649529022,0.51258376118453,0.5,0.900236258303743,0,0,0,0.383510469266676,-0.976427873149591,0.592917403882915,1350
3.9,1.15663604058076e-13,-0.866025403784462,0.866025403784346,0.0157288765105969,-0.0543962540592523,0.0386673775488361,52.1466857753083,0.532697738740082,0.8363506003518,0.507859175974804,0.5,0.90019027078481,0,0,0,-0.965538207116865,0.620747884841312,0.344790322275554,1350
4,7.85754689491389e-15,-0.866025403784408,0.8660254037844,0.0176828465419963,-0.0550479796560408,0.0373651331142313,52.1525269837486,0.530543603091713,0.83478805329637,0.506517032695725,0.6,0.900025646756415,0,0,0,0.641835156999685,0.314103210001882,-0.955938367001567,1350
4.1,1.27425165174984e-13,-0.866025403784468,0.866025403784341,0.0171973235646066,-0.0550310415447761,0.0378337179803578,52.1352962173243,0.525927147761307,0.97762350094921,0.604319136102501,0.6,0.899927299034523,0,0,0,0.586120347716769,-1.11009214105714,0.52397179334037,1350
4.2,1.96191080118212e-14,-0.866025403784414,0.866025403784395,-0.000651938988972702,-0.0556231592075305,0.056275098196666,52.1111621647503,0.519709821682928,0.983754376622591,0.610676668531658,0.6,0.899935328000576,0,0,0,-1.10015602175815,0.359244625601052,0.740911396157097,1350
4.3,1.39186726291891e-13,-0.866025403784474,0.866025403784335,0.013255644942883,-0.0593229522166094,0.0460673072739257,52.1006918719665,0.514692614160572,0.976858371523702,0.608413519533751,0.6,0.899837262265839,0,0,0,0.186405377015139,0.864360140172795,-1.05076551718793,1350
4.4,3.13806691287285e-14,-0.86602540378442,0.866025403784389,0.000161341706759495,-0.0628922411811763,0.0627308994745737,52.0666239325033,0.498863552022703,0.986095085459718,0.608363447104316,0.6,0.899972657890527,0,0,0,0.969823091795007,-0.967748373575766,-0.00207471821924089,1350
4.5,-7.64253880344339e-14,-0.866025403784366,0.866025403784442,0.0182820280394919,-0.0656779915467547,0.0473959635073997,52.0420780139647,0.50022001003706,0.990421794115261,0.607049794072179,0.7,0.899949587988702,0,0,0,-0.869020681701538,-0.177781964903319,1.04680264660486,1350
4.6,2.70515905688868e-13,-0.86602540378454,0.866025403784269,0.00615535115690009,-0.0586123355687745,0.052456984412053,52.0193932830694,0.495555949457582,1.18488940842441,0.709521531313397,0.7,0.89990355884204,0,0,0,-0.684742166580989,1.26787101523678,-0.583128848655788,1350
4.7,1.62709848525705e-13,-0.866025403784486,0.866025403784323,-0.00650564789979066,-0.0638816417969371,0.0703872896969207,51.9834997841088,0.510069689568358,1.20111417581135,0.716294745487935,0.7,0.900072256003388,0,0,0,1.16695390875009,-0.135147877348577,-1.03180603140151,1350
4.8,2.82277466805775e-13,-0.866025403784545,0.866025403784263,0.000493446028056701,-0.0771239094731893,0.0766304634453366,51.9566574724967,0.536406824979694,1.17502908028364,0.711008542172364,0.7,0.900118515461376,0,0,0,0.314994107408067,-1.22395975324649,0.908965645838419,1350
4.9,1.74471409642613e-13,-0.866025403784492,0.866025403784317,0.0092198380927008,-0.0652670427332604,0.056047204640758,51.9061252794788,0.5286712023553,1.14750523082542,0.706992329102837,0.7,0.900065351879826,0,0,0,-1.26018040836603,0.533342780048402,0.726837628317629,1350
5,6.66653524794504e-14,-0.866025403784438,0.866025403784371,0.0041731451647701,-0.061285472205158,0.057112327040579,51.8910618800377,0.510791844471843,1.13830746253892,0.706974791660842,0.8,0.899688735278243,0,0,0,0.0947289825528778,1.04639404191065,-1.14112302446353,1350
5.1,1.8623297075952e-13,-0.866025403784497,0.866025403784311,0.0064006290339898,-0.0875318043756306,0.0811311753418089,51.8611896371814,0.486708754262963,1.34215315504152,0.808061307202673,0.8,0.90005387784107,0,0,0,1.41521294621479,-0.706265103086057,-0.708947843128737,1350
5.2,7.84269135963577e-14,-0.866025403784444,0.866025403784365,0.00414049143721518,-0.0803864184660129,0.0762459270289598,51.8366194982913,0.521055490058905,1.35182793721019,0.810697654787561,0.8,0.900061081417026,0,0,0,0.059246141916621,-1.25699837927248,1.19775223735586,1350
5.3,1.97994531876427e-13,-0.866025403784503,0.866025403784305,0.0157006191683309,-0.0892605162511501,0.0735598970838973,51.7973659795667,0.533700298234374,1.30597019769553,0.807758937515595,0.8,0.899850286338297,0,0,0,-1.41256896359896,0.614691586748002,0.797877376850956,1350
5.4,9.0188474713265e-14,-0.866025403784449,0.866025403784359,-0.0104906111352427,-0.0740489308870136,0.0845395420224459,51.7463577908217,0.49218703973561,1.31177800372275,0.809060113989904,0.8,0.900027547662042,0,0,0,-0.164341987478428,1.30133483149402,-1.13699284401559,1350
5.5,2.09756092993335e-13,-0.866025403784509,0.866025403784299,0.0135650949180293,-0.0860958965106253,0.0725308015927559,51.6657111391699,0.494526601993998,1.35038020349832,0.808019088427019,0.9,0.899995267288274,0,0,0,1.39913915716121,-0.511593562289902,-0.887545594871306,1350
5.6,1.01950035830172e-13,-0.866025403784455,0.866025403784353,0.00826502207571457,-0.0851729557420229,0.0769079336674219,51.6186750471166,0.545310271769411,1.49226976519788,0.914239330691085,0.9,0.900090326290408,0,0,0,0.631053611280332,-1.57015600280445,0.939102391524118,1350
5.7,-5.85602133299011e-15,-0.866025403784401,0.866025403784407,0.00713902669536814,-0.0871246817024025,0.0799856550072176,51.5133430896123,0.489891513596951,1.47489152714729,0.91156297874895,0.9,0.899945497551446,0,0,0,-1.25269452317682,-0.19969847171813,1.45239299489495,1350
5.8,3.41085272390312e-13,-0.866025403784575,0.866025403784234,0.00296850706070299,-0.0852657982039262,0.082297291143416,51.3172792300878,0.506562238308472,1.50891588553641,0.902521460269146,0.9,0.900148174117034,0,0,0,-1.20723820008848,1.46048892718236,-0.253250727093873,1350
5.9,2.33279215227149e-13,-0.866025403784521,0.866025403784288,0.00112619859110422,-0.0829528899467296,0.081826691356679,51.0496767443042,0.530264244601027,1.47136895006957,0.907186338275265,0.9,0.900169787051208,0,0,0,0.678776884801312,0.884620233573458,-1.56339711837477,1350
6,3.52846833507219e-13,-0.866025403784581,0.866025403784228,-0.0141623988449423,-0.0863556551793667,0.100518054024432,50.9981324032344,0.482198958224138,1.49104839478221,0.911529178949105,1,0.899963377471602,0,0,0,1.54021053863267,-1.05179396422431,-0.488416574408356,1350
6.1,2.45040776344056e-13,-0.866025403784527,0.866025403784282,0.00699680452415885,-0.0996023549321531,0.0926055504081864,50.9211738119967,0.537102451032481,1.67664589331943,1.01858050354662,1,0.89975341892452,0,0,0,0.419670871618463,-1.67247375463577,1.25280288301731,1350
6.2,1.37234719180894e-13,-0.866025403784473,0.866025403784336,0.00489671120425356,-0.100689138628629,0.0957924274245739,50.8775928687869,0.48394445416747,1.62749944163729,1.0083587337504,1,0.89962005107507,0,0,0,-1.34227458628677,-0.265224048710374,1.60749863499714,1350
6.3,2.56802337460964e-13,-0.866025403784533,0.866025403784276,-0.0165195767221858,-0.0935975994702699,0.110117176192618,50.8206650070983,0.530236660526111,1.65874801216714,1.00020425125121,1,0.899493774400806,0,0,0,-1.53349257070171,1.42436008969109,0.109132481010615,1350
6.4,1.48996280297801e-13,-0.866025403784479,0.86602540378433,-0.00380801545850189,-0.084775764987437,0.0885837804628953,50.7815154169268,0.49898071509688,1.59751604292995,0.995597602448092,1,0.899573307997638,-1.9337015702958,1.9337015702958,0,0.0429211352046113,1.45367348533632,-1.49659462037472,1350
6.5,2.68563898577871e-13,-0.866025403784539,0.86602540378427,0.000802881879940065,-0.0982085503813979,0.0974056685016489,50.7305211054473,0.513770529314283,1.66025549095373,0.995575345777239,1.1,0.900348383874097,0,0,0,1.56071042808539,-0.189292888372124,-1.37141753971327,1350
6.6,1.60757841414709e-13,-0.866025403784485,0.866025403784324,-0.0132549917833909,-0.0917843759945361,0.10503936779468,50.704563642338,0.489111117231243,1.75306373570091,1.09103792294056,1.1,0.899582238835683,1.93440754218602,0,-1.93440754218602,1.60833957970862,-1.59752381358046,-0.0108157659618915,1350
6.7,2.80325459694778e-13,-0.866025403784545,0.866025403784264,-0.00162731660411469,-0.111304764471128,0.11293208109207,50.6440511363093,0.527390921861625,1.81438301704718,1.10117295696574,1.1,0.899170974713998,1.93445303800428,0,-1.93445303800428,0.231576857856026,-1.71817840491439,1.48660154722464,1350
